FormID,ConceptID,ConceptName,DataType,IsAnswerToWhichConcept,FormID,ConceptID,ConceptName,DataType,IsAnswerToWhichConcept
1,1703, Date Clinically eligible for ART,DATE,,56,162227,"	Date medically eligible for antiretroviral therapy",DATE,
1,1731, Why Eligible ,CODED,,56,162225, Reason eligible for antiretroviral therapy,CODED,
1,1730, Clinically Only ,N/A,1731,56,164426, Clinical eligibility only,N/A,162225
1,88, CD4 COUNT ,N/A,1731,56,5497,CD4 COUNT,N/A,162225
1,1153, CD4 %,N/A,1731,56,730,CD4%,N/A,162225
1,1717, LYMPHOCYTES ,N/A,1731,56,164427,"	Targeted Long-Acting Combination Antiretroviral Therapy",N/A,162225
1,7777862, Date initial adherence counseling completed ,DATE,,56,165038, Date initial adherence counseling completed,DATE,
1,7778531,  RGMN_LN_ART_STRT,CODED,,56,165708,"	Current Regimen Line",CODED,
1,7778108,  First Line,N/A,7778531,56,"164,506",Adult 1st line ARV regimen|Child 1st line ARV regimen,N/A,165708
1,7778109, Second Line,N/A,7778531,56,164513,Adult 2nd line ARV regimen|Child 2nd line ARV regimen,N/A,165708
1,7778611,Third Line Regimen,N/A,7778531,56,165702,Adult 3rd Line ARV Regimen|Child 3rd Line ARV Regimen,N/A,165708
1,7778532,  1ST_LN_RGMN_ART_STRT,CODED,,56,164506,Adult 1st line ARV regimen|Child 1st line ARV regimen,CODED,
1,7777811, AZT-3TC-EFV,N/A,7778532,56,160124,AZT-3TC-EFV,N/A,164506
1,7778599,TDF-3TC-DTG,N/A,7778532,56,165681, TDF-3TC-DTG,N/A,164506
1,7778600,ABC-3TC-DTG,N/A,7778532,56," 	165691", ABC-3TC-DTG,N/A,164506
1," 	7778601",AZT-3TC-RAL,N/A,7778532,56,165695,AZT-3TC-RAL,N/A,164513
1," 	7777919",ABC-3TC-LPV/r,N/A,7778532,56,162200,ABC-3TC-LPV/r ,N/A,164513
1,7777880,AZT-3TC-LPV/r ,N/A,7778532,56,162561,AZT-3TC-LPV/r,N/A,164513
1,7777810, AZT-3TC-NVP,N/A,7778532,56,1652,AZT-3TC-NVP,N/A,164506
1,7777929, TDF-FTC-EFV ,N/A,7778532,56,104565,TDF-FTC-EFV ,N/A,164506
1,7777930, TDF-FTC-NVP,N/A,7778532,56,164854,TDF-FTC-NVP,N/A,164506
1,7777812, TDF-3TC-NVP,N/A,7778532,56,162565,TDF-3TC-NVP,N/A,164506
1,7777813, ABC-3TC-AZT,N/A,7778532,56,817,ABC-3TC-AZT,N/A,164506
1,7777814,  AZT-3TC-TDF,N/A,7778532,56,165522,TDF-3TC-AZT,N/A,164506
1,7777931, ABC-3TC-EFV,N/A,7778532,56,162563,ABC-3TC-EFV,N/A,164506
1,7777916, ABC-3TC-NVP,N/A,7778532,56,162199,ABC-3TC-NVP,N/A,164506
1,7777922,  D4T-3TC-NVP,N/A,7778532,56,792,D4T-3TC-NVP,N/A,164506
1,7778554, TDF-3TC-EFV,N/A,7778532,56,164505,TDF-3TC-EFV ,N/A,164506
1,7778139,  D4T-3TC-EFV,N/A,7778532,56,160104,D4T-3TC-EFV ,N/A,164506
1,7778533, 2ND_LN_RGMN_ART_STRT,CODED,,56,164513,Adult 2nd line ARV regimen|Child 2nd line ARV regimen,CODED,
1,7778604,ABC-3TC-RAL,N/A," 	7778603",56,165696,Child 2nd Line ARV Regimen,N/A,164514
1,7777933, TDF-FTC-LPV/r,N/A,7778533,56," 	165523",TDF-FTC-LPV/r ,N/A,164513
1,7777934,TDF-3TC-LPV/r,N/A,7778533,56,162201,TDF-3TC-LPV/r ,N/A,164513
1,7777935,TDF-FTC-ATV/r ,N/A,7778533,56,165524,TDF-FTC-ATV/r ,N/A,164513
1,7777936,TDF-3TC-ATV/r,N/A,7778533,56,164512,TDF-3TC-ATV/r ,N/A,164513
1,7777880,AZT-3TC-LPV/r ,N/A,7778533,56,162561, AZT-3TC-LPV/r ,N/A,164513
1,7777818,AZT-3TC-ATV/r,N/A,7778533,56,164511,AZT-3TC-ATV/r,N/A,164513
1,7777919,ABC-3TC-LPV/r,N/A,7778533,56," 	162200",ABC-3TC-LPV/r ,N/A,164513
1,7777880,AZT-3TC-LPV/r,N/A,7778533,56," 	162561",AZT-3TC-LPV/r,N/A,164513
1,7777921, D4T-3TC-LPV/r,N/A,7778533,56,162560,D4T-3TC-LPV/r ,N/A,164513
1,7777918, DDI-3TC-NVP,N/A,7778533,56,165525,DDI-3TC-NVP,N/A,164513
1,7777920, ABC-3TC-DDI,N/A,7778533,56," 	165526", ABC-3TC-DDI ,N/A,164513
1,7778124,TDF-FTC-SQV/r,N/A,7778533,56,165527,TDF-FTC-SQV/r ,N/A,164513
1,7778125,TDF-3TC-SQV/r,N/A,7778533,56,165528,TDF-3TC-SQV/r ,N/A,164513
1,7778126,AZT-3TC-SQV/r ,N/A,7778533,56,165529,AZT-3TC-SQV/r ,N/A,164513
1,7778128,AZT-TDF-3TC-LPV/r,N/A,7778533,56,165530,AZT-TDF-3TC-LPV/r ,N/A,164513
1,7778129,TDF-AZT-FTC-SQV/r,N/A,7778533,56,165531,TDF-AZT-FTC-SQV/r ,N/A,164513
1,7778130,TDF-AZT-3TC-SQV/r,N/A,7778533,56," 	165532",TDF-AZT-3TC-SQV/r ,N/A,164513
1,7778131,TDF-FTC-IDV/r,N/A,7778533,56,165539,TDF-FTC-IDV/r ,N/A,164513
1,7778132,TDF-3TC-IDV/r,N/A,7778533,56,165533,TDF-3TC-IDV/r ,N/A,164513
1,7778132,AZT-3TC-IDV/r,N/A,7778533,56,165534,AZT-3TC-IDV/r  ,N/A,164513
1,7778134,TDF-AZT-FTC-IDV/r,N/A,7778533,56,165535,TDF-AZT-FTC-IDV/r ,N/A,164513
1,7778135,TDF-AZT-3TC-IDV/r,N/A,7778533,56," 	165536",TDF-AZT-3TC-IDV/r ,N/A,164513
1,7778136,ABC-AZT-LPV/r,N/A,7778533,56,162564,ABC-AZT-LPV/r ,N/A,164513
1,7778137,TDF-AZT-3TC-ATV/r,N/A,7778533,56," 	165537",TDF-AZT-3TC-ATV/r ,N/A,164513
1,7778611,Third Line Regimen,CODED,,56,165702,Adult 3rd Line ARV Regimen|Child 3rd Line ARV Regimen,CODED,
1,7778605,DRV/r + DTG ± 1-2 NRTIs,N/A,7778611,56,165688,DRV/r-DTG + 1-2 NRTIs,N/A,165702
1," 	7778609",DRV/r + RAL (or DTG) ± 1-2 NRTIs,N/A,7778611,56,165701,DRV/r+RAL + 1-2NRTIs,N/A,165702
1," 	7778608",DRV/r +2NRTIs,N/A,7778611,56,165700,DRV/r +2NRTIs,N/A,165702
1," 	7778606",DRV/r +2NRTIs ± NNRTI,N/A,7778611,56,165689,DRV/r-2NRTIs + NNRTI,N/A,165702
1,7778610,DRV/r +DTG ± 1-2 NRTIs,N/A,7778611,56,165688,DRV/r-DTG + 1-2 NRTIs,N/A,165702
1,7778607,RAL (or DTG) + 2 NRTIs,N/A,7778611,56,165699,RAL(or DTG) + 2 NRTIs,N/A,165702
1,863, ART_INIT_DT,DATE,,56,159599,ART start date,DATE,
1,7778529, WHO_ART_STRT,CODED,,56,5356,CURRENT WHO HIV STAGE,CODED,
1,7777925,1,N/A,7778529,56,1204,1,N/A,5356
1,7777926,2,N/A,7778529,56,1205,2,N/A,5356
1,7777927,3,N/A,7778529,56,1206,3,N/A,5356
1,7777928,4,N/A,7778529,56,1207,4,N/A,5356
1,1734, WEIGHT_ART_STRT,NUMERIC,,56,165582,"	Weight at Start of ART",NUMERIC,
1,1735, HEIGHT_ART_STRT,NUMERIC,,56,165581,"	Height at start of ART",NUMERIC,
1,7778530, FS_ART_STRT,CODED,,56,165039,Functional Status,CODED,
1,1009, Working,N/A,7778530,56,159468,"	Physically able to work ",N/A,165039
1,1010,Ambulatory,N/A,7778530,56,160026,"	Patient ambulatory",N/A,165039
1,1012, Bedridden,N/A,7778530,56,162752,"	Bedridden ",N/A,165039
1,1733, CD4_ART_STRT,NUMERIC,,56,164429,"	CD4 count at start of ART",NUMERIC,
