FormID,ConceptID,ConceptName,DataType,IsAnswerToWhichConcept,FormID,ConceptID,ConceptName,DataType,IsAnswerToWhichConcept
65,7778430, Patient phone number,TEXT,,23,159635,Contact phone number,TEXT,
65,1052,CARE ENTRY POINT,CODED,,23,160540,method of enrollment,CODED,
65,1056, STI OUTPATIENT,N/A,1052,23,160546,Sexually transmitted infection program/clinic,,160540
65,1066,GENERAL OUTPATIENT DEPARTMENT,N/A,1052,23,160542,Outpatient department,N/A,160540
65,243,VCT,N/A,1052,23,160539,Voluntary counseling and testing program,N/A,160540
65,7778234,CBO,N/A,1052,23,160543,Community-based organization,N/A,160540
65,1057,PRIVATE/COMMERCIAL HEALTH FACILITY,N/A,1052,23,160547,Private company,N/A,160540
65,1055,TB OUTPATIENT,N/A,1052,23,160541,Tuberculosis treatment program,N/A,160540
65,1053,ANC/PMTCT,N/A,1052,23,160538,Prevention of maternal to child transmission program,,160540
65,7777758,IDU,N/A,1052,23,160548,Intravenous venous drug user outreach program,N/A,160540
65,1058,SEX WORKER OUTREACH,N/A,1052,23,160550,Sex worker outreach program,N/A,160540
65,7778237,Current clinic patient,N/A,1052,23,160536,Adult inpatient service,N/A,160540
65,1059,SELF REFERRAL,N/A,1052,23,160551,Self-referral,N/A,160540
65,859, DATE CONFIRMED HIV POSITIVE,DATE,,23,160554,Date of HIV diagnosis,DATE,
65,7778053, Mode of HIV test,CODED,,23,164947, Mode Of HIV Test,CODED,
65,7778052, HIV-Ab,N/A,7778053,23,164949, HIV-Ab,N/A,164947
65,164948, PCR,N/A,7778053,23,164948, PCR,N/A,164947
65,7777768,Previous care details,CODED,,23,165242, Prior ART,CODED,
65,7777764,Transfer in with records,N/A,7777768,23,165238,Transfer in without records,N/A,165242
65,7777766, Earlier ARV but not transfer in,N/A,7777768,23,165712,Earlier ARV but not a transfer in,N/A,165242
65,7777765, PMTCT Only,N/A,7777768,23,165241,PMTCT Only,N/A,165242
65,7777767, Has never received ARVs,N/A,7777768,23,1107,None,N/A,165242
65,978, DATE TRANSFERRED,DATE,,23,160534, Date transfered in,DATE,
65,1732,Facility Transfered from,TEXT,,23,160535, Facility transfered from,TEXT,
65,7778304, Transferred in PEPFAR ID,TEXT,,23,162727,Other facility patient identifier,TEXT,
65,7778355, Prior ARV therapy ,CODED,,23,165704, Previous ARV Medication ,CODED,
65,7778602,ABC-3TC-ATV/r,N/A,7778355,23,166092,  ABC-3TC-ATV/r,N/A,165704
65,7777813,ABC-3TC-AZT,N/A,7778355,23,817,ABC-3TC-AZT,N/A,165704
65,7777920,ABC-3TC-DDI,N/A,7778355,23,165526,ABC-3TC-DDI,N/A,165704
65,7778600,ABC-3TC-DTG,N/A,7778355,23,165691,ABC-3TC-DTG,N/A,165704
65,7777931,ABC-3TC-EFV,N/A,7778355,23,162563, ABC-3TC-EFV,N/A,165704
65,7777919,ABC-3TC-LPV/r,N/A,7778355,23,162200,ABC-3TC-LPV/r,N/A,165704
65,7777916,ABC-3TC-NVP,N/A,7778355,23,162199, ABC-3TC-NVP,N/A,165704
65,7778604,ABC-3TC-RAL,N/A,7778355,23,165696,  ABC-3TC-RAL,N/A,165704
65,7778136,ABC-AZT-LPV/r,N/A,7778355,23,162564,ABC-AZT-LPV/r,N/A,165704
65,7778557,ABC-DDI-LPV/r,N/A,7778355,23,162559,ABC-DDI-LPV/r,N/A,165704
65,7778555,ABC-DDI-SQV/r,N/A,7778355,23,165541,ABC-DDI-SQV/r,N/A,165704
65,7778140,AZT-3TC,N/A,7778355,23,630,LAMIVUDINE / ZIDOVUDINE,N/A,165704
65,7777811,AZT-3TC-EFV,N/A,7778355,23,160124,AZT-3TC-EFV,N/A,165704
65,7778133,AZT-3TC-IDV/r,N/A,7778355,23,165534,AZT-3TC-IDV/r,N/A,165704
65,7777880,AZT-3TC-LPV/r,N/A,7778355,23,162561,  AZT-3TC-LPV/r,N/A,165704
65,7777810,AZT-3TC-NVP,N/A,7778355,23,1652, AZT-3TC-NVP,N/A,165704
65,7778601,AZT-3TC-RAL,N/A,7778355,23,165695,AZT-3TC-RAL,N/A,165704
65,7778126,AZT-3TC-SQV/r,N/A,7778355,23,165529,AZT-3TC-SQV/r,N/A,165704
65,7777814,AZT-3TC-TDF,N/A,7778355,23,165522,AZT-3TC-TDF,N/A,165704
65,7778139,D4T-3TC-EFV,N/A,7778355,23,160104,D4T-3TC-EFV,N/A,165704
65,7777921,D4T-3TC-LPV/r,N/A,7778355,23,792,D4T-3TC-NVP,N/A,165704
65,7777922,D4T-3TC-NVP,N/A,7778355,23,792,D4T-3TC-NVP,N/A,165704
65,7777918,DDI-3TC-NVP,N/A,7778355,23,165525,DDI-3TC-NVP,N/A,165704
65,7778605,DRV/r + DTG ± 1-2 NRTIs,N/A,7778355,23,165688,DRV/r-DTG + 1-2 NRTIs,N/A,165704
65,7778609,DRV/r + RAL (or DTG) ± 1-2 NRTIs,N/A,7778355,23,165701,DRV/r+RAL + 1-2NRTIs,N/A,165704
65,7778608,DRV/r +2NRTIs,N/A,7778355,23,165700,DRV/r +2NRTIs,N/A,165704
65,7778606,DRV/r +2NRTIs ± NNRTI,N/A,7778355,23,165689,DRV/r-2NRTIs + NNRTI,N/A,165704
65,7778610,DRV/r +DTG ± 1-2 NRTIs,N/A,7778355,23,165688,DRV/r-DTG + 1-2 NRTIs,N/A,165704
65,33,OTHER NON-CODED,N/A,7778355,23,5622,OTHER NON-CODED,N/A,165704
65,7778607,RAL or DTG + 2 NRTIs,N/A,7778355,23,165699,RAL(or DTG) + 2 NRTIs,N/A,165704
65,1615,Sd NVP Only,N/A,7778355,23,162325,sd NVP,N/A,165704
65,7778354,Single dose NVP + ZDV x 6 weeks,N/A,7778355,23,165544,NEVIRAPINE/ZIDOVUDINE,N/A,165704
65,7777936,TDF-3TC-ATV/r,N/A,7778355,23,164512, TDF-3TC-ATV/r,N/A,165704
65,7778599,TDF-3TC-DTG,N/A,7778355,23,165681,TDF-3TC-DTG,N/A,165704
65,7778554,TDF-3TC-EFV,N/A,7778355,23,164505,TDF-3TC-EFV,N/A,165704
65,7778132,TDF-3TC-IDV/r,N/A,7778355,23,165533,TDF-3TC-IDV/r,N/A,165704
65,7777934,TDF-3TC-LPV/r,N/A,7778355,23,162201, TDF-3TC-LPV/r,N/A,165704
65,7777812,TDF-3TC-NVP,N/A,7778355,23,162565, TDF-3TC-NVP,N/A,165704
65,7778125,TDF-3TC-SQV/r,N/A,7778355,23,165528,TDF-3TC-SQV/r,N/A,165704
65,7778137,TDF-AZT-3TC-ATV/r,N/A,7778355,23,165537, TDF-AZT-3TC-ATV/r,N/A,165704
65,7778135,TDF-AZT-3TC-IDV/r,N/A,7778355,23,165536,TDF-AZT-3TC-IDV/r,N/A,165704
65,7778130,TDF-AZT-3TC-SQV/r,N/A,7778355,23,165532,TDF-AZT-3TC-SQV/r,N/A,165704
65,7778134,TDF-AZT-FTC-IDV/r,N/A,7778355,23,165535,TDF-AZT-FTC-IDV/r,N/A,165704
65,7778129,TDF-AZT-FTC-SQV/r,N/A,7778355,23,165531,TDF-AZT-3TC-SQV/r,N/A,165704
65,7778556,TDF-DDI-IDV/r,N/A,7778355,23,165542,TDF-DDI-IDV/r,N/A,165704
65,7777935,TDF-FTC-ATV/r,N/A,7778355,23,165524,TDF-FTC-ATV/r,N/A,165704
65,7777929,TDF-FTC-EFV,N/A,7778355,23,104565,TDF-FTC-EFV,N/A,165704
