FormID,ConceptID,ConceptName,DataType,IsAnswerToWhichConcept,FormID,ConceptID,ConceptName,DataType,IsAnswerToWhichConcept
56,85,WEIGHT (KG),NUMERIC,,14,5089,Weight (kg),NUMERIC,
56,571,HEIGHT (CM),NUMERIC,,14,5090,Height (cm),NUMERIC,
56,84,"		SYSTOLIC BLOOD PRESSURE",NUMERIC,,14,5085,Systolic blood pressure,NUMERIC,
56,568,DIASTOLIC BLOOD PRESSURE,NUMERIC,,14,5086,Diastolic blood pressure,NUMERIC,
56,569,PULSE,NUMERIC,,14,5087,Pulse,NUMERIC,
56,1104,BODY SURFACE AREA,NUMERIC,,14,980,BODY SURFACE AREA,NUMERIC,
56,1105,HEAD CIRCUMFERENCE ,NUMERIC,,14,5314,Head circumference,NUMERIC,
56,387,MID-UPPER ARM CIRCUMFERENCE,NUMERIC,,14,165243,BMI/MUAC,NUMERIC,
56,570,TEMPERATURE (C),NUMERIC,,14,5088,Temperature,NUMERIC,
56,7777871,PMTCT Link,CODED,,14,165050,Pregnancy/Breastfeeding Status,CODED,
56,47,Pregnant,BOOLEAN,7777871,14,165048,Pregnant,N/A,165050
56,1259,ON PMTCT,N/A,7777871,14,165049,Breastfeeding,N/A,165050
56,7777870,Not Pregnant,N/A,7777871,14,165047,Not Pregnant,N/A,165050
56,577," 	ESTIMATED DATE OF CONFINEMENT",DATE,,14,5596,Expected date of confinement ,DATE,
56,1741," 	Family Planning Status",CODED,,14,5271,FAMILY PLANNING,BOOLEAN,
56,1739,On Family Planning,N/A,1741,14,1,TRUE,N/A,5271
56,1740,Not on Family Planning,N/A,1741,14,0,FALSE,N/A,5271
56,1742,Family Planning used,CODED,,14,374,Method of family planning,CODED,
56,280,CONDOMS,N/A,1742,14,190,Condoms,N/A,374
56,311,Oral contraceptive pills ,N/A,1742,14,780,Oral contraception,N/A,374
56,405,injectable/implantable hormones ,N/A,1742,14,5279,Injectable contraceptives,N/A,374
56,408,CERVICAL CAP ,N/A,1742,14,5278,Diaphragm,N/A,374
56,407,INTRAUTERINE DEVICE,N/A,1742,14,5275,Intrauterine device,N/A,374
56,7777863,Vasectomy,N/A,1742,14,1489,Vasectomy,N/A,374
56,33,OTHER NON-CODED,N/A,1742,14,5622,Other,N/A,374
56,1013,FUNCTIONAL STATUS,CODED,,14,165039,Functional Status,CODED,
56,1009,Working ,CODED,1013,14,159468, Able to walk without assistance ,N/A,165039
56,1010, Ambulatory ,N/A,1013,14,160026, Patient ambulatory ,N/A,165039
56,1012,Bedridden,N/A,1013,14,162752, Bedridden ,N/A,165039
56,7777798,WHO STAGING,CODED,,14,5356,CURRENT WHO HIV STAGE,,
56,7777925,1,N/A,7777798,14,1204, WHO STAGE 1 ADULT ,CODED,5356
56,7777926,2,N/A,7777798,14,1205, WHO STAGE 2 ADULT ,CODED,5356
56,7777927,3,N/A,7777798,14,1206, WHO STAGE 3 ADULT ,CODED,5356
56,7777928,4,N/A,7777798,14,1207, WHO STAGE 4 ADULT ,CODED,5356
56,862, TUBERCULOSIS DISEASE STATUS,CODED,,14,1659,Tuberculosis disease status,CODED,
56,871,NO SIGNS OR SYMPTOMS OF DISEASE,N/A,862,14,1660,No signs or symptoms of disease,N/A,1659
56,870,DISEASE SUSPECTED,N/A,862,14,142177,Disease suspected,N/A,1659
56,868,CURRENTLY ON INH PROPHYLAXIS,N/A,862,14,166042,Currently on INH prophylaxis,N/A,1659
56,872,ON TREATMENT FOR DISEASE,N/A,862,14,1662,On treatment for disease,N/A,1659
56,528,SIGN/SYMPTOM NAME,CODED,,14,160170,HIV and opportunistic infection diagnoses,CODED,
56,1019,HERPES ZOSTER,CODED,528,14,117543,Herpes Zoster,N/A,160170
56,439," 	PNEUMONIA",N/A,528,14,114100,Pneumonia,N/A,160170
56,1046,DEMENTIA,N/A,528,14,119566,DEMENTIA,N/A,160170
56,7777838,Thrush,CODED,528,14,5334,"CANDIDIASIS, ORAL",N/A,160170
56,201,FEVER,CODED,528,14,140238,Fever,N/A,160170
56,194,COUGH,CODED,528,14,143264,Cough,N/A,160170
56,7778411, Other signs and symptoms,Text,,14,165513, Other Symptom,Text,
56,1607,Presumed ARV side effects,CODED,,14,159935,"antiretroviral drug side effects, since last visit",CODED,
56,706,Nausea and Vomiting,CODED,1607,14,133473,Nausea and Vomiting,N/A,159935
56,196,Headache/confusion,CODED,1607,14,139084,Headache,N/A,159935
56,1714,Insomnia/Bad dreams,N/A,1607,14,119566,DEMENTIA,N/A,159935
56,573,WEAKNESS,CODED,1607,14,5226,WEAKNESS,N/A,159935
56,557,Bleeding,CODED,1607,14,165767,PV Bleeding/Discharge,N/A,159935
56,181,RASH,CODED,1607,14,512,Rash,N/A,159935
56,7777791,Fat accumulation or loss,N/A,1607,14,165052,Fat accumulation or loss,N/A,159935
56,671,ANEMIA,N/A,1607,14,121629,Anemia ,N/A,159935
56," 	7777872",Drainage of liquor,N/A,1607,14,165053,Drainage of liquor,N/A,159935
56,1715,Steven Johnson syndrome,N/A,1607,14,125886,Stevens-Johnson Syndrome,N/A,159935
56,7777787,Hyperglycemia,N/A,1607,14,138291,Hyperglycaemia,N/A,159935
56,7778145, Other presumed ARV Side Effects,Text,,14,165593, Other ARV side effect,Text,
56,7778111,Regimen Line ,CODED,,14,165708,Regimen Line,CODED,
56,7778108,First Line ,CODED,7778111,14,164506, Adult 1st line ARV regimen,N/A,165708
56,7778109,Second Line ,CODED,7778111,14,164513,Adult 2nd line ARV regimen,N/A,165708
56,7778611,Third Line Regimen,CODED,7778111,14,165702,Adult 3rd Line ARV Regimens,N/A,165708
56,7778108,First Line,CODED,,14," 	164506"," 	Adult 1st line ARV regimen",CODED,
56,7777811,AZT-3TC-EFV,N/A,7778108,14,160124,AZT-3TC-EFV,N/A,164506
56,7777810,AZT-3TC-NVP,N/A,7778108,14,1652,AZT-3TC-NVP,N/A,164506
56,7777929,TDF-FTC-EFV,N/A,7778108,14,104565,TDF-FTC-EFV,N/A,164506
56,7777930,TDF-FTC-NVP,N/A,7778108,14,164854,TDF-FTC-NVP,N/A,164506
56,7777812,TDF-3TC-NVP,N/A,7778108,14,162565,TDF-3TC-NVP,N/A,164506
56,7777813,ABC-3TC-AZT,N/A,7778108,14,817,ABC-3TC-AZT,N/A,164506
56,7777814,AZT-3TC-TDF,N/A,7778108,14,165522,AZT-3TC-TDF,N/A,164506
56,7777931,ABC-3TC-EFV,N/A,7778108,14,162563,ABC-3TC-EFV,N/A,164506
56,7777916,ABC-3TC-NVP,N/A,7778108,14,162499,ABC-3TC-NVP,N/A,164506
56,7777922,D4T-3TC-NVP,N/A,7778108,14,792,D4T-3TC-NVP,N/A,164506
56,7778554,TDF-3TC-EFV,N/A,7778108,14,164505,TDF-3TC-EFV,N/A,164506
56,7778139,D4T-3TC-EFV,N/A,7778108,14,160104,D4T-3TC-EFV,N/A,164506
56,7778554,TDF-3TC-EFV ,N/A,7778108,14,164505,TDF-3TC-EFV ,N/A,164506
56,7777930,TDF-FTC-NVP ,N/A,7778108,14,164854,TDF-FTC-NVP,N/A,164506
56,7778599,TDF-3TC-DTG ,N/A,7778108,14,165681,TDF-3TC-DTG,N/A,164506
56,7778600,ABC-3TC-DTG ,N/A,7778108,14," 	165691",ABC-3TC-DTG,N/A,164506
56,7778601,AZT-3TC-RAL ,N/A,7778108,14," 	165695",AZT-3TC-RAL,N/A,164506
56,7777919,ABC-3TC-LPV/r ,N/A,7778108,14,165696,"		ABC-3TC-RAL",N/A,164506
56,7777880,AZT-3TC-LPV/r ,N/A,7778108,14,162561,AZT-3TC-LPV/r,N/A,164506
56,7778109,Second Line ,CODED,,14,164513,Adult 2nd line ARV regimen,CODED,
56,7777933,TDF-FTC-LPV/r,N/A,7778109,14,165523,TDF-FTC-LPV/r,N/A,164513
56,7777934,TDF-3TC-LPV/r,N/A,7778109,14,162201,TDF-3TC-LPV/r,N/A,164513
56,7777935,TDF-FTC-ATV/r,N/A,7778109,14,165524,TDF-FTC-ATV/r,N/A,164513
56,7777936,TDF-3TC-ATV/r,N/A,7778109,14,164512,TDF-3TC-ATV/r,N/A,164513
