FormID,ConceptID,ConceptName,DataType,IsAnswerToWhichConcept,FormID,ConceptID,ConceptName,DataType,IsAnswerToWhichConcept
20,1069,MOTHER'S HEALTH STATUS,CODED,,18,5588, MOTHER DECEASED,,
20,1068,ALIVE,N/A,1069,18,1,TRUE,,5588
20,53,DECEASED,N/A,1069,18,0,FALSE,,5588
20,1070,MOTHER'S NAME,TEXT,,18,1593, MOTHER'S NAME,TEXT,
20,1071,MOTHER'S ADDRESS,TEXT,,18,164936, Mother's Address,TEXT,
20,1072,FATHER'S HEALTH STATUS,CODED,,18,5589,FATHER'S DECEASED ,,
20,1068,ALIVE,N/A,,18,1,TRUE,,5589
20,53,DECEASED,N/A,,18,0,FALSE,,5589
20,1073,FATHER'S NAME,TEXT,,18,1594, FATHER'S NAME,TEXT,
20,1074,FATHER'S ADDRESS,TEXT,,18,164942, FATHER'S ADDRESS,TEXT,
20,7777888, Number of child's siblings,NUMERIC,,18,5573,number of siblings,NUMERIC,
20,536,SIGNS AND SYMPTOMS INFO,N/A,,18,1727,SIGNS AND SYMPTOMS,N/A,
20,528, SIGN/SYMPTOM NAME,CODED,,18,1728, SIGN/SYMPTOM NAME,CODED,
20,201,FEVER,CODED,528,18,140238,Fever,CODED,1728
20,7778506,  Food Refusal,CODED,528,18,165611,Food Refusal,N/A,1728
20,193, WEIGHT LOSS ,CODED,528,18,832,weight loss,Boolean,1728
20,191, DIARRHEA,CODED,528,18,142412,diarrhea,CODED,1728
20,204, NIGHT SWEATS,CODED,528,18,133027,NIGHT SWEATS,Boolean,1728
20,706,  Nausea and Vomiting,CODED,528,18,133473, Nausea and Vomiting,N/A,1728
20,563, IRRITABILITY,CODED,528,18,6023, IRRITABILITY,N/A,1728
20,995,  PAINFUL URINATION,CODED,528,18,163606, Burning on urination ,N/A,1728
20,7777894,  Difficulty sleeping,CODED,528,18,142371,Difficulty sleeping,N/A,1728
20,994,  GENITAL SORES,CODED,528,18,864,GENITAL SORES,N/A,1728
20,196,  Headache/confusion,CODED,528,18,139084,Headache/confusion,N/A,1728
20,988,  NUMBNESS OF LOWER LIMB,CODED,528,18,163074,Numbness and tingling of skin ,N/A,1728
20,1088, VISUAL PROBLEMS,CODED,528,18,159298,visual impairment ,N/A,1728
20,281, SEIZURE,CODED,528,18,6007,SEIZURES,N/A,1728
20,7777895, Ear discharge,CODED,528,18,141587,EAR DISCHARGE,N/A,1728
20,181,  RASH,CODED,528,18,512, RASH,N/A,1728
20,7777896,  Oral Sores,CODED,528,18,5244, Oral Sores,N/A,1728
20,190, ITCHING,CODED,528,18,863,ITCHING,N/A,1728
20,194,  COUGH,CODED,528,18,143264, COUGH,N/A,1728
20,203,  DYSPNEA,CODED,528,18,122496,Dyspnea,N/A,1728
