FormID,ConceptID,ConceptName,DataType,IsAnswerToWhichConcept,FormID,ConceptID,ConceptName,DataType,IsAnswerToWhichConcept
53,1537,Visit Type,CODED,,27,164181, Visit type ,CODED,
53,1535,Initial,N/A,1537,27,164180, New visit ,N/A,164181
53,1536,Follow up,N/A,1537,27,160530,Return Visit Type,N/A,164181
53,1256,TREATMENT STATUS,CODED,,27,165945,Treatment type,CODED,
53,1257,?NOT ON ART ,N/A,1256,27,165941,Non-ART,N/A,165945
53,1258,ON ART ,N/A,1256,27,165303,Antiretroviral Therapy,N/A,165945
53,1259,ON PMTCT ,N/A,1256,27,165685,PMTCT,N/A,165945
53,7778361,Non-Occup PEP ,N/A,1256,27,165943,Non-Occup PEP,N/A,165945
53,7778362,Occup PEP ,N/A,1256,27,165942,Occup PEP,N/A,165945
53,7778550,HEI ,N/A,1256,27,165658,HEI,N/A,165945
53,7778111,Regimen Line ,CODED,,27,165708,Regimen Line,CODED,
53,7778108,First Line ,CODED,7778111,27,164507,Child 1st line ARV regimen,N/A,165708
53,7778109,Second Line ,CODED,7778111,27,164514,Child 2nd line ARV regimen,N/A,165708
53,7778611,Third Line Regimen,CODED,7778111,27,164503,Child 3rd Line ARV Regimens,N/A,165708
53,7778108,First Line,CODED,,27,164507,Child 1st line ARV regimen,CODED,
53,7777811,AZT-3TC-EFV,N/A,7778108,27,160124,AZT-3TC-EFV,N/A,164507
53,7777810,AZT-3TC-NVP,N/A,7778108,27,1652,AZT-3TC-NVP,N/A,164507
53,7777929,TDF-FTC-EFV,N/A,7778108,27,104565,TDF-FTC-EFV,N/A,164507
53,7777930,TDF-FTC-NVP,N/A,7778108,27,164854,TDF-FTC-NVP,N/A,164507
53,7777812,TDF-3TC-NVP,N/A,7778108,27,162565,TDF-3TC-NVP,N/A,164507
53,7777813,ABC-3TC-AZT,N/A,7778108,27,817,ABC-3TC-AZT,N/A,164507
53,7777814,AZT-3TC-TDF,N/A,7778108,27,165522,AZT-3TC-TDF,N/A,164507
53,7777931,ABC-3TC-EFV,N/A,7778108,27,162563,ABC-3TC-EFV,N/A,164507
53,7777916,ABC-3TC-NVP,N/A,7778108,27,162499,ABC-3TC-NVP,N/A,164507
53,7777922,D4T-3TC-NVP,N/A,7778108,27,792,D4T-3TC-NVP,N/A,164507
53,7778554,TDF-3TC-EFV,N/A,7778108,27,164505,TDF-3TC-EFV,N/A,164507
53,7778139,D4T-3TC-EFV,N/A,7778108,27,160104,D4T-3TC-EFV,N/A,164507
53,7778554,TDF-3TC-EFV ,N/A,7778108,27,164505,TDF-3TC-EFV ,N/A,164507
53,7777930,TDF-FTC-NVP ,N/A,7778108,27,164854,TDF-FTC-NVP,N/A,164507
53,7778599,TDF-3TC-DTG ,N/A,7778108,27,165681,TDF-3TC-DTG,N/A,164507
53,7778600,ABC-3TC-DTG ,N/A,7778108,27," 	165691",ABC-3TC-DTG,N/A,164507
53,7778601,AZT-3TC-RAL ,N/A,7778108,27," 	165695",AZT-3TC-RAL,N/A,164507
53,7777919,ABC-3TC-LPV/r ,N/A,7778108,27,165696,"		ABC-3TC-RAL",N/A,164507
53,7777880,AZT-3TC-LPV/r ,N/A,7778108,27,162561,AZT-3TC-LPV/r,N/A,164507
53,7778109,Second Line ,CODED,,27,164514,Child 2nd line ARV regimen,CODED,
