FormID,ConceptID,ConceptName,DataType,IsAnswerToWhichConcept,FormID,ConceptID,ConceptName,DataType,IsAnswerToWhichConcept
67,88,CD4 COUNT,NUMERIC,384,21,165731,CD4+ cell count Order,BOOLEAN,
67,88,CD4 COUNT,NUMERIC,,21,5497,CD4 COUNT ,NUMERIC,
67,315,VIRAL LOAD,N/A,,21,856,HIV VIRAL LOAD,NUMERIC,
67,315,VIRAL LOAD,N/A,384,21,165765,Viral Load Order,BOOLEAN,
67,1153,CD4%,N/A,384,21,165748,CD4% Order,BOOLEAN,
67,1153,CD4%,NUMERIC,,21,730,CD4% ,NUMERIC,
67,365,Na+,N/A,384,21,165742,Na+ Order,BOOLEAN,
67,365,Na+,NUMERIC,,21,1132,SERUM SODIUM,NUMERIC,
67,331,WBC,N/A,384,21,165732,WBC Order,BOOLEAN,
67,331,WBC,NUMERIC,,21,678, WHITE BLOOD CELLS ,NUMERIC,
67,368,SERUM POTASSIUN,N/A,384,21,165742,K+ Order,BOOLEAN,
67,368,SERUM POTASSIUN,NUMERIC,,21,1133,SERUM POTASSIUM,NUMERIC,
67,1717,LYMPHOCYTES,N/A,384,21,165733,Lymphocytes order,BOOLEAN,
67,1717,LYMPHOCYTES,NUMERIC,,21,1319, LYMPHOCYTE COUNT ,NUMERIC,
67,1168,LYMPHOCYTES%,NUMERIC,,21,1338, LYMPHOCYTES (%) - MICROSCOPIC EXAM ,NUMERIC,
67,1169,MONOCYTES,N/A,384,21,165734,Monocytes Order,BOOLEAN,
67,1169,MONOCYTES,NUMERIC,,21,1023,MONOCYTES,NUMERIC,
67,1718,MONOCYTES%,NUMERIC,,21,1339,MONOCYTES (%) - MICROSCOPIC EXAM (1339,NUMERIC,
67,1716,NEUTROPHILS,N/A,384,21,165749,Polymorphs Order,BOOLEAN,
67,1716,NEUTROPHILS,NUMERIC,,21,1022,NEUTROPHILS,NUMERIC,
67,1170,NEUTROPHILS%,NUMERIC,,21,165919,Polymorphs%,NUMERIC,
67,1719,EOSINOPHILS,N/A,384,21,165735,Esinophils Order,BOOLEAN,
67,1719,EOSINOPHILS,NUMERIC,,21,1024,EOSINOPHILS,NUMERIC,
67,1156,EOSINOPHILS %,NUMERIC,,21,1340,EOSINOPHILS (%) - MICROSCOPIC EXAM,NUMERIC,
67,451,SERUM GLUCOSE (MMOL),N/A,384,21,165743, Fasting Glucose Order,BOOLEAN,
67,451,SERUM GLUCOSE (MMOL),NUMERIC,,21,160053,"Glucose measurement, serum, fasting",NUMERIC,
67,1150,BASOPHILS,N/A,384,21,165736, Basophils Order,BOOLEAN,
67,1150,BASOPHILS,NUMERIC,,21,1025,BASOPHILS,NUMERIC,
67,7777906,BASOPHILS %,NUMERIC,,21,1341, BASOPHILS (%) - MICROSCOPIC EXAM,NUMERIC,
67,1528,T.BILIRUBIN,N/A,384,21,165758,"	Total Bilirubin Order",BOOLEAN,
67,1528,T.BILIRUBIN,NUMERIC,,21,655, TOTAL BILIRUBIN,NUMERIC,
67,7777907,HB (PCV) %,N/A,384,21,165737,PCV/Hb Order,BOOLEAN,
67,7777907,HB (PCV) %,NUMERIC,,21,165395,Hb (PCV) %,NUMERIC,
67,228,HEMOGLOBIN (HB/PCV),NUMERIC,,21,165920, PCV/Hb g/dl,NUMERIC,
67,375,PLATELETS COUNT,N/A,384,21,165754,Platelets Order,BOOLEAN,
67,375,PLATELETS COUNT,NUMERIC,,21,729,Platelets,NUMERIC,
67,1175,TOTAL CHOLESTEROL,N/A,384,21,165760,Total Cholesterol Order,BOOLEAN,
67,1175,TOTAL CHOLESTEROL,NUMERIC,,21,1006, TOTAL CHOLESTEROL,NUMERIC,
67,1157,HEPATITIS B TEST-QUALITATIVE,CODED,384,21,165755, HBsAG Order,BOOLEAN,
67,1157,HEPATITIS B TEST-QUALITATIVE,CODED,,21,159430, Hepatitis B Surface Antigen Test,CODED,
67,2,POSITIVE,N/A,1157,21,703,POSITIVE,N/A,
67,8,NEGATIVE,N/A,1157,21,664,NEGATIVE,N/A,
67,1167,LDL,N/A,384,21,165744,LDL Order,BOOLEAN,
67,1167,LDL,NUMERIC,,21,1008,LOW-DENSITY LIPOPROTEIN CHOLESTEROL,NUMERIC,
67,286,VDRL,N/A,384,21,165739,VDRL Order,BOOLEAN,
67,286,VDRL,CODED,,21,299,VDRL,CODED,
67,1159,HDL,N/A,384,21,165761,HDL Order,BOOLEAN,
67,1159,HDL,NUMERIC,,21,1007,"	HIGH-DENSITY LIPOPROTEIN CHOLESTEROL",NUMERIC,
67,313,CREATININE,N/A,384,21,165756,Creatinine Order,BOOLEAN,
67,313,CREATININE,NUMERIC,,21,164364, Serum creatinine (mg/dL),NUMERIC,
67,308,AST,N/A,384,21,165740,ALT/SGPT Order,BOOLEAN,
67,308,AST,NUMERIC,,21,654, SERUM GLUTAMIC-PYRUVIC TRANSAMINASE,NUMERIC,
67,309,ALT/SGPT,N/A,384,21,165922, ALT/SGPT Order mmol/L,BOOLEAN,
67,309,ALT/SGPT,NUMERIC,,21,165923, ALT/SGPT mmol/L ,NUMERIC,
67,1176,TRIGLYCERIDES,N/A,384,21,165763,Triglyceride Order,BOOLEAN,
67,1176,TRIGLYCERIDES,NUMERIC,,21,1009,"	TRIGLYCERIDES",NUMERIC,
67,1530," 	Alk.Phosphatase",NUMERIC,384,21,165741, Alk. Phosphatase Order,,
67,1530," 	Alk.Phosphatase",NUMERIC,,21,785,"	ALKALINE PHOSPHATASE",,
67,7777910,Cytology,CODED,384,21,165746,"	Cytology/Pap Smear Order",,
67,265,URINE PREGNANCY TEST,CODED,384,21,165747,Pregnancy Order,BOOLEAN,
67,265,URINE PREGNANCY TEST,CODED,,21,45, URINE PREGNANCY TEST ,CODED,
67,2,POSITIVE,N/A,265,21,703,POSITIVE,N/A,45
67,8,NEGATIVE,N/A,265,21,664,NEGATIVE,N/A,45
67,262,MALARIAL SMEAR,CODED,384,21,165764, Malaria smear Order,BOOLEAN,
67,262,MALARIAL SMEAR,CODED,,21,32, MALARIAL SMEAR,CODED,
67,2,POSITIVE,N/A,262,21,703,POSITIVE,N/A,32
67,8,NEGATIVE,N/A,262,21,664,NEGATIVE,N/A,32
67,1158,HEPATITIS C TEST - QUALITATIVE,CODED,328,21,165738,HCV antibody Order,BOOLEAN,
67,1158,HEPATITIS C TEST - QUALITATIVE,CODED,,21,1325, HEPATITIS C TEST - QUALITATIVE,CODED,
67,2,POSITIVE ,N/A,1158,21,703,POSITIVE,N/A,1325
67,8,NEGATIVE ,N/A,1158,21,664,NEGATIVE,N/A,1325
67,7778015,Date Ordered,DATE,,21,164989, Ordered date,DATE,
67,7778010,Reported by,TEXT,,21,164982, Reported by,TEXT,
67,7778016,Date Reported,DATE,,21,165414,  Date Reported,DATE,
67,7778011,Checked by,TEXT,,21,164983, Checked by,TEXT,
67,7778018,Date Checked ,DATE,,21,164984,  Date Checked,DATE,
